Eritrea,ERI,79.4,32.8,4.5,4.3,5.6,1.4,11.7,0.4,5.8,0.4
Estonia,EST,52.8,13.3,1.7,2.6,18.6,6.7,3.8,0.2,1.7,0.1
Ethiopia,ETH,1432.3,603.1,75.3,73.2,101.5,32.6,211.4,4.5,105.7,7.1
Fiji,FJI,14.4,4.5,0.9,1.5,0.5,0.8,2.4,0.1,1.1,0.1
Finland,FIN,171.1,48.6,8.1,10,46.3,21.9,14.3,1.9,6.3,0.5
France,FRA,1662.5,482.3,98.1,113,245,116.3,345.8,26.7,70.4,5.2
Gabon,GAB,27,10.3,1.5,1.8,1.8,1.4,3.6,0.3,1.9,0.1
Gambia,GMB,27.2,10.1,1.5,1.5,1.6,2.5,3.4,0.1,2,0.1
Georgia,GEO,97.8,36.8,5.8,8.4,6.4,5.7,14.1,0.4,6,0.3
Germany,DEU,2319.2,672.8,121.2,149.1,384.8,178.5,437.2,56.7,100.8,6.2
Ghana,GHA,419.3,152.9,23.3,25.6,26,36.2,53.6,2.2,29.7,2
Greece,GRC,286.6,107.1,18.8,21,10.4,33.7,47.5,3.7,13.7,0.9
Grenada,GRD,2.5,0.8,0.1,0.2,0.3,0.1,0.5,0,0.1,0
Guatemala,GTM,343.6,77.9,17.2,14.7,96.3,31,46.5,2.5,17.1,1.4
Guinea,GIN,180.3,64.8,9.7,10.4,12.2,14.8,23.2,0.7,13.3,0.9
Guinea-Bissau,GNB,27.6,10,1.5,1.6,2,2,3.6,0.1,2,0.1
Guyana,GUY,17.2,5.3,0.9,1,2.2,1,3.6,0.2,1,0.1
Haiti,HTI,202.4,64.2,11.7,10.2,27.9,6.7,43.2,0.8,12.4,1.6
Honduras,HND,133,42.3,9.3,7.9,10.7,6.4,24.8,0.8,9.1,0.7
Hungary,HUN,252,84.1,13.2,22.8,37.9,13.3,34.4,2.1,13.2,0.8
Iceland,ISL,6.8,1.9,0.4,0.5,0.5,0.9,1.3,0.1,0.4,0
India,IND,23259,8308.2,1252,1735.2,1361.9,1632.3,2826.5,156.2,1671.6,70.6
Indonesia,IDN,4129.9,1306.1,282.8,466.6,154.4,155.6,655.3,33.9,307.9,16.2
Iran,IRN,1927,548.1,101.9,104.5,26,446.1,289.6,13.6,94.5,13.1
Iraq,IRQ,562,167.4,29,28.4,10.4,73.3,104,3.6,35.4,2.4
Ireland,IRL,113.9,33.7,6.4,7.3,8.9,16,22.5,2.9,5.3,0.4
Israel,ISR,129.1,51.1,9.3,10.8,5.5,8.3,15,1.8,8.4,0.7
Italy,ITA,1341.5,484.6,87.7,93.8,37.8,123,252,33,71.3,4.8
Jamaica,JAM,59.3,21.3,3.7,4,3.3,2.1,13.4,0.5,3.6,0.5
Japan,JPN,2415.8,826.4,163.7,363,74.1,101.9,333.3,56.9,172.1,8.1
Jordan,JOR,109.6,35,6.7,6.5,1.8,11.4,19.6,0.9,7.2,0.6
Kazakhstan,KAZ,388.2,115.5,19.5,28.1,61.5,45.2,46.7,2.4,21.1,1.3
Kenya,KEN,662.6,272,37.1,37.2,40.5,8.7,96.5,3,51,3.4
Kiribati,KIR,1.6,0.5,0.1,0.1,0.1,0.1,0.3,0,0.1,0
Kuwait,KWT,52.9,18.2,3.5,4.2,0.7,4.8,8.6,0.7,3.3,0.2
Kyrgyzstan,KGZ,137.7,35.4,6.2,9.1,28.8,18.7,15,0.5,7.2,0.5
Lao PDR,LAO,104.1,27.8,6.2,8.5,12.1,5,15.6,0.6,7.8,0.5
Latvia,LVA,71.8,17.4,3,4.7,21.3,8.9,6.5,0.3,3,0.1
Lebanon,LBN,88.8,29.3,5.7,5.9,1.4,7.4,18.3,0.7,5.2,0.4
Lesotho,LSO,40.2,15.6,2,2.1,2.8,2.8,5.2,0.2,2.7,0.2
Liberia,LBR,57.4,19.5,3.3,3.4,3.7,4.7,7.8,0.2,4.5,0.3
Libya,LBY,129.2,43.5,8.3,8.7,2.8,11.6,22.9,1.3,7.9,0.6
Lithuania,LTU,115.3,30.4,4.4,6.8,33.2,15.8,9.5,0.5,4.5,0.2
Luxembourg,LUX,12.8,3.7,0.7,0.9,1.6,1.9,1.9,0.2,0.6,0
Madagascar,MDG,328.9,138.8,18.4,19.5,16.8,5.3,49.2,1.4,25.1,1.7
Malawi,MWI,221.4,91,12.3,11.2,12.6,3.2,33.7,0.8,17.5,1.2
Malaysia,MYS,543.6,150.4,32.6,56.2,28.9,37.4,110.7,6,35.1,1.9
Maldives,MDV,6.6,1.7,0.4,0.6,0.9,0.7,0.9,0.1,0.4,0
Mali,MLI,224.9,81.9,12.5,12.6,13.2,14.8,30.1,0.9,17.6,1.2
Malta,MLT,9.5,3.2,0.7,0.7,0.4,1,1.7,0.2,0.5,0
Mauritania,MRT,59,22.1,3.4,3.7,2.6,4.8,7.7,0.3,4.4,0.3
Mauritius,MUS,26.2,7.9,1.6,3,3,1.1,3.7,0.2,1.6,0.1
Mexico,MEX,2236.7,683.9,156.1,167.5,261.7,137.1,315.1,28.1,153,9.1
Micronesia (Federated States of),FSM,1.8,0.5,0.1,0.2,0.1,0.1,0.3,0,0.1,0
Mongolia,MNG,61,17.5,3.2,4.1,12.2,4.1,7.6,0.3,3.6,0.2
Montenegro,MNE,14.5,4.9,0.8,1.2,1,1.7,2,0.1,0.8,0.1
Morocco,MAR,760.8,225.3,40.6,44.1,24.2,147.3,120.4,4.1,39.8,2.8
Mozambique,MOZ,379.2,156.5,20.6,20.3,25.5,7.2,56.2,1.2,28.4,1.9
Myanmar,MMR,977.1,283.6,60.9,92.3,108,50.3,143.4,4.8,66.6,3.5
Namibia,NAM,41.4,14.8,2.2,2.5,3.2,3.1,5.5,0.3,2.8,0.2
Nepal,NPL,424.1,119.3,25.9,32,20.6,27.3,76.6,2.1,35.3,1.5
Netherlands,NLD,391.4,121.1,25.2,34.6,23.2,25.1,93.9,7.6,20.3,1.3
New Zealand,NZL,118.1,34.6,8,10.5,6.9,11.6,27.2,1.5,5.8,0.6
Nicaragua,NIC,127.1,34.9,7.8,6.9,26.9,5.8,20.3,0.6,7.1,0.6
Niger,NER,222.9,83.6,12.5,13.3,11.2,10.6,30.6,0.7,18.3,1.2
Nigeria,NGA,2909.6,1002.6,142.6,156.2,206.9,382.8,336,13.7,192.4,12.7
Norway,NOR,141.7,34,6.6,9.1,15.3,26.6,30.3,2.2,5.3,0.4
Oman,OMN,53.1,17.4,3.4,3.5,1,3.6,9.4,0.6,3.5,0.3
Pakistan,PAK,2923.6,1033.4,159.5,193.1,100.8,173.1,461.3,17.5,217.5,9.6
Panama,PAN,70.7,23.5,5,5.2,4.7,4.2,12.8,0.7,4.4,0.3
Papua New Guinea,PNG,94.8,28.3,5.8,8.4,5.4,3.3,16.9,0.4,8.2,0.6
Paraguay,PRY,142.1,50.5,7.7,7.7,8.1,4.3,37.6,0.9,8,0.5
Peru,PER,686.7,220.5,39.2,40.6,62.2,60.7,137.6,4.6,37.5,3.1
Philippines,PHL,1586.8,437,97.8,160.4,128.6,103.8,234.4,20.7,116.4,6.7
Poland,POL,1070.1,314.1,51.3,76.7,245.2,73.6,130.5,6.7,51.3,3.4
Portugal,PRT,264.1,97.2,17.7,19.8,21.6,16.8,45.2,3.8,12.9,0.8
Qatar,QAT,19.5,6.8,1.3,1.7,0.5,1.3,3,0.3,1.3,0.1
Korea,KOR,1020.4,296.1,63.2,121.7,109.9,42.7,155,25.5,64.3,3.7
Moldova,MDA,121.9,35.4,5.6,7.3,32.4,10.5,11.7,0.3,5.7,0.3
Romania,ROU,533.5,178,30.6,43.9,56.1,56.9,70,2.4,28.7,1.8
Russia,RUS,7473,1278.1,187.5,277.8,3054.5,1636.8,400.3,28,187.5,7.9
Rwanda,RWA,161.7,57.9,9.4,8.9,16.5,3.4,25.2,0.7,12.3,0.8
Saint Lucia,LCA,4.1,1.3,0.2,0.3,0.5,0.2,0.8,0,0.2,0
Saint Vincent and the Grenadines,VCT,2.9,0.9,0.2,0.2,0.5,0.2,0.6,0,0.1,0
Samoa,WSM,2.9,0.9,0.2,0.3,0.1,0.1,0.5,0,0.2,0
Sao Tome and Principe,STP,2.7,1.1,0.2,0.2,0.1,0.1,0.4,0,0.2,0
Saudi Arabia,SAU,503.5,177.5,33.8,37.7,7.7,29.2,91.4,4.2,36.3,2.4
Senegal,SEN,208,76.3,11.7,12,12.3,15.8,27.6,1,15.5,1.1
Serbia,SRB,212.3,74.2,11.7,18.5,22.6,12.1,30.6,1.5,12.3,0.8
Seychelles,SYC,2.1,0.6,0.1,0.2,0.1,0.4,0.3,0,0.1,0
Sierra Leone,SLE,101.2,33.9,5.2,5.3,10.7,10.1,12.2,0.4,6.9,0.5
Singapore,SGP,71.6,25.4,5,9.2,1.5,3,10.8,1.3,4.9,0.3
Slovakia,SVK,133.2,44.7,7.4,11.2,15.8,10.1,18.4,1,7.3,0.5
Slovenia,SVN,50.6,17.1,2.7,4.4,6.9,3.5,6.8,0.4,2.7,0.2
Solomon Islands,SLB,7.3,2.2,0.4,0.6,0.3,0.3,1.3,0,0.6,0
Somalia,SOM,148,60.2,7.9,7.7,11.4,2.1,21.8,0.4,11.5,0.8
South Africa,ZAF,1060.9,352.3,58.2,74.8,79.8,105.9,142.9,8.8,69.3,4.1
S. Sudan,SSD,150.7,61.8,8,8.7,12.2,2.3,21.6,0.8,11,0.7
Spain,ESP,1090.4,375.5,75.5,87,48.4,119.3,154.9,22.2,53.9,5.2
Sri Lanka,LKA,384,122.4,25.1,44,22.9,20.1,58,2.5,26,1.3
Sudan,SDN,600.4,189.1,35.7,31.9,20.5,44.8,111.8,2.7,41.7,3.2
Suriname,SUR,11.9,3.9,0.7,0.8,1.2,0.7,2.5,0.1,0.7,0.1
Swaziland,SWZ,22.8,7.7,1.1,1.2,1.8,2.3,2.9,0.2,1.5,0.1
Sweden,SWE,225.2,70.4,13.6,14.6,30.5,20.5,37.9,2.1,12.3,0.9
Switzerland,CHE,197.5,59.1,12.4,16.2,17.1,25.9,31.8,5.9,9.2,0.6
Syria,SYR,357.9,118.4,22.6,21.1,5.2,25.5,67.5,2,24.5,2
Tajikistan,TJK,125.7,41.6,7.5,8.6,8.5,8.1,18.8,0.4,9.7,0.7
Thailand,THA,1536.9,434.4,87.2,165.2,175.1,115.8,200.8,11.7,87.5,4.6
Macediona,MKD,44.2,16.4,2.7,3.9,2.9,1.9,6.8,0.3,2.8,0.2
Timor-Leste,TLS,15.6,4.4,0.9,1.2,1.1,0.6,2.5,0.1,1.3,0.1
Togo,TGO,106.9,38,5.8,5.9,7.5,10,13.7,0.5,7.7,0.5
Tonga,TON,1.6,0.5,0.1,0.2,0.1,0.1,0.3,0,0.1,0
Trinidad and Tobago,TTO,32.7,11.3,2,2.3,2.9,1.5,7,0.3,1.7,0.2
Tunisia,TUN,248.4,81.1,14.4,16.9,6.2,33.9,41.3,1.5,13.3,0.9
Turkey,TUR,1402.3,478.5,93.7,107.6,38.5,103.1,225.2,13.8,88.9,6.1
Turkmenistan,TKM,98.8,31.7,5.7,7.5,10.6,6.7,13.8,0.6,6.7,0.4
Uganda,UGA,538.6,241.2,26.2,24.4,37.8,8.2,69.4,2,38.5,2.7
Ukraine,UKR,1731.8,497.5,61.4,90.5,362.9,386.8,130,4.9,61.3,2.6
United Arab Emirates,ARE,120.7,37.3,7.5,9.3,3.6,19.4,16.2,2.3,7.3,0.4
United Kingdom,GBR,1455.5,401.3,93.4,115.7,103.6,229.2,223.6,23.1,81.4,4.9
Tanzania,TZA,716.8,289.2,39.2,40,53,16.3,104.6,3.2,53.6,3.6
United States,USA,9989.2,2618,463.5,939.9,799.2,2140.1,1660.5,163.6,381.9,30.3
Uruguay,URY,78.3,26.4,4.8,6.6,4.5,3.3,18.2,0.7,4.5,0.3
Uzbekistan,UZB,533.9,174.7,31.1,45.4,43,39.3,75.8,2.4,36.7,2.5
Vanuatu,VUT,3.3,1,0.2,0.3,0.1,0.1,0.6,0,0.3,0
Venezuela,VEN,548.9,183.2,39.7,39.9,35.7,26.8,102.2,5.1,34.2,3.4
Vietnam,VNM,1549.5,517.3,109.8,184.5,93.4,101,162.5,9.5,114.5,6.3
Yemen,YEM,370.8,116.5,22.1,18.5,9.8,23.7,72,1.9,27.3,1.9
Zambia,ZMB,217.8,86.8,11.8,11.3,16.6,4.4,31.9,1.2,16.6,1.1
Zimbabwe,ZWE,262.6,90.4,13.8,13.9,25.9,20.1,32.8,1.7,18.1,1.3
