Mexico,101719673,2082.8,615.6,143.7,147.6,280.1,121.3,290.4,24.8,143.5,8.8
Micronesia (Federated States of),107432,1.7,0.5,0.1,0.2,0.1,0.1,0.3,0,0.1,0
Mongolia,2397436,50.4,15.5,2.8,3.5,6.6,3.2,7,0.3,3.4,0.2
Montenegro,604950,14.3,4.8,0.8,1.2,1.1,1.7,2,0.1,0.8,0.1
Morocco,28849621,714.6,204.2,37.4,39.2,23.8,145.1,112.4,3.9,38.1,2.9
Mozambique,18067687,332.2,137.5,18,17.5,23.8,6.3,49,1,24.4,1.6
Myanmar,46095462,912.2,263.9,57.5,82.1,104.7,44.2,136.4,4.1,63.8,3.5
Namibia,1899257,38.7,13.7,2.1,2.3,3,3.3,5,0.3,2.6,0.2
Nepal,23740911,393.3,109.6,23.8,28.6,19.8,27.5,70,1.9,32.8,1.5
Netherlands,15925513,382.9,116.6,25.9,33.7,24.4,24,91.5,7.5,19.9,1.3
New Zealand,3857700,108.1,32.1,7.5,9.6,6.2,9.6,25.4,1.3,5.4,0.6
Nicaragua,5026796,113.8,30.9,6.9,5.9,23.2,5.6,18.3,0.5,6.7,0.6
Niger,11352973,188.6,71.4,10.7,11.3,9.8,8.8,25.7,0.6,15.2,1
Nigeria,122352009,2574.3,889.1,124.8,134.9,204.4,322.7,297.3,11,169.3,11.3
Norway,4490967,141.5,33.2,6.6,8.6,16.1,28.2,29.9,2,5.1,0.4
Oman,2267991,45.8,14.8,2.9,2.9,0.9,3,8.1,0.5,3.2,0.2
Pakistan,138523285,2550.5,896.4,137.3,166.6,87.1,147.7,403.5,14.8,194.9,8.6
Panama,3030347,64,21,4.6,4.6,4.5,4,11.6,0.6,4,0.3
Papua New Guinea,5572222,83.4,24.7,5.1,7.2,4.9,2.9,14.8,0.4,7.2,0.5
Paraguay,5302700,126.4,44.4,6.8,6.7,8,3.8,33.3,0.8,7.3,0.5
Peru,25914879,631.6,200.1,35.8,36,65.8,49.6,126,4.2,35.2,3
Philippines,77991569,1415.4,386.6,87.3,140.2,124.5,95.5,209.9,14.6,105.7,6.2
Poland,38258629,1029.2,306.2,50.1,74.9,222.3,70.1,129.6,6.4,51.8,3.7
Portugal,10289898,260,93.9,17.2,18.5,20.8,19.8,44.6,3.7,12.7,0.9
Qatar,592267,13.5,4.7,0.9,1.2,0.3,0.8,2.1,0.2,0.9,0.1
Republic of Korea,47008111,1030.8,301.2,61,119.3,127.9,44.6,148.7,24.3,63.2,3.9
Republic of Moldova,3639592,112.6,34.2,5.3,7.5,25.9,8.8,11.5,0.3,5.7,0.3
Romania,22442971,564.5,180.5,31.2,45.6,74.2,60.8,72,2.3,29.9,2
Russian Federation,146596557,7338.4,1270.6,184.7,276.5,3007.8,1533.5,406.4,26.2,192.8,8.7
Rwanda,8025703,143.4,50.1,8,7.6,16.7,2.7,22.2,0.6,10.8,0.8
Saint Lucia,156949,3.8,1.2,0.2,0.2,0.5,0.2,0.8,0,0.2,0
Saint Vincent and the Grenadines,107898,2.8,0.8,0.2,0.2,0.5,0.1,0.5,0,0.1,0
Samoa,174610,2.8,0.8,0.2,0.3,0.1,0.1,0.5,0,0.2,0
Sao Tome and Principe,138606,2.4,0.9,0.1,0.1,0.1,0.1,0.3,0,0.2,0
Saudi Arabia,20764312,417.4,145.5,27.7,30,6.5,22.7,76.7,3.4,31,2.1
Senegal,9884052,180.3,66.1,10,10.2,11.5,12.6,23.9,0.9,13.6,0.9
Serbia,7516346,212.9,75.3,11.9,18.4,22.9,10.6,31.3,1.4,12.7,0.8
Seychelles,81131,1.8,0.5,0.1,0.2,0.1,0.3,0.2,0,0.1,0
Sierra Leone,4564297,81.9,27.1,4.1,4.2,9.5,8,9.7,0.3,5.6,0.4
Singapore,4027887,65.6,23.7,4.6,8.3,1.4,2.4,9.8,1.1,4.5,0.3
Slovakia,5388720,130.3,43.3,7.2,10.7,15.4,9.6,18.2,1,7.3,0.5
Slovenia,1988925,50.7,16.7,2.7,4.4,7.8,3,6.8,0.3,2.7,0.2
Solomon Islands,412609,6.4,1.9,0.4,0.5,0.3,0.3,1.1,0,0.6,0
Somalia,9011479,130.3,53.3,7,6.9,10.3,1.9,19,0.4,10,0.6
South Africa,44896856,1021.3,319.2,52.9,67,91.7,128.7,131.9,8,64.5,3.9
South Sudan,6700656,123.5,50.4,6.6,7.2,10.4,1.9,17.7,0.6,9.1,0.6
Spain,40567864,1013.8,349,69.8,76.8,41.3,118,145.3,19.9,50.3,5.1
Sri Lanka,18655000,366.5,115.1,24,40.8,25.3,18.3,55.7,2.4,25.3,1.3
Sudan,27250535,519.1,164,31.1,26.9,18.3,35.3,97.5,2.2,36.5,2.8
Suriname,472390,11.2,3.6,0.7,0.7,1.2,0.7,2.3,0.1,0.7,0.1
Swaziland,1061468,21.7,7.2,1,1.2,1.8,2.4,2.8,0.2,1.5,0.1
Sweden,8872109,221.2,68.8,13.3,14.5,31.9,18.7,37.1,1.8,12.1,0.9
Switzerland,7184250,192.7,56.1,11.9,14.6,18.3,27.4,30.5,5.6,8.9,0.6
Syrian Arab Republic,16410848,314,103.2,19.8,17.8,4.8,20.9,60.1,1.7,21.9,1.8
Tajikistan,6216205,109.3,35.6,6.4,7.3,7.6,6.6,16.5,0.4,8.8,0.6
Thailand,62958021,1391.3,400.5,82.7,151,125.9,104.9,189.3,11.2,84.1,4.7
The former Yugoslav Republic of Macedonia,2034819,42.3,15.7,2.6,3.7,2.4,1.6,6.6,0.2,2.8,0.2
Timor-Leste,871607,13.1,3.7,0.8,1.1,1.2,0.5,2,0.1,1.1,0.1
Togo,4970367,92.5,32.9,5,5,6.7,8.2,11.9,0.4,6.7,0.5
Tonga,98082,1.6,0.5,0.1,0.1,0.1,0.1,0.3,0,0.1,0
Trinidad and Tobago,1267984,30.4,10.6,1.9,2.1,2.3,1.2,6.7,0.3,1.7,0.2
Tunisia,9699197,230.3,74.1,13.3,15,5.8,30.3,38.8,1.4,12.9,0.9
Turkey,63240121,1298.3,434.3,85.5,94.9,47.9,88.2,212.5,12.8,83.2,5.9
Turkmenistan,4516131,88.6,28.7,5.1,6.5,8.5,5.3,12.8,0.5,6.4,0.4
Uganda,24039274,452.5,205.3,22,20.6,33.3,6.9,58.7,1.6,32.6,2.2
Ukraine,49175848,1684.9,506.3,62.2,90.9,358,320.5,134.3,4.8,64.1,2.9
United Arab Emirates,3154925,76.4,23.4,4.7,5.7,2.4,11.3,10.7,1.5,4.8,0.3
United Kingdom,58892514,1397.4,397.2,90.7,114.5,95.6,203.7,216.5,21.3,79.6,4.8
United Republic of Tanzania,34178042,628.4,252.8,34,34.2,49,14,91.5,2.6,46.8,3.2
United States of America,282162411,9036.5,2423,443.2,888.5,755,1588.7,1629.1,155.1,365.9,29.8
Uruguay,3321245,78.4,26.2,4.8,7,4.8,2.9,18,0.7,4.6,0.3
Uzbekistan,24650400,477,155.4,27.6,40.1,37.2,30.5,69.3,2.1,34.6,2.5
Vanuatu,185063,2.9,0.9,0.2,0.3,0.1,0.1,0.5,0,0.3,0
Venezuela (Bolivarian Republic of),24488340,495.8,162.9,35.6,35.2,36.5,23.7,91.8,5,31.4,3.2
Viet Nam,77630900,1397.7,463.4,99.3,160.9,85.1,87.2,149.6,8.2,109.4,6.4
Yemen,17874725,308.3,96.7,18,15.3,8.4,17.2,60.2,1.5,23.5,1.6
Zambia,10531221,193.3,77.1,10.3,9.9,15.1,4,28.2,1,14.6,1
Zimbabwe,12222251,248.9,86.2,13,13.4,22.7,18.7,31.4,1.7,17.5,1.2
